,Player,Team,Position,Minutes,Off_box,Def_box,Tot_box,Off_oo,Def_oo,Tot_oo,Off_ov,Def_ov,Tot_ov,WAR
324,AJ Green'22-'23,Bucks,SG,345,0.9,-2.6,-1.7,0.1,-2.5,-2.4,0.8,-2.8,-2,0.1
324,Udonis Haslem'22-'23,Heat,"PF, C",74,-6.8,7.6,0.8,-5.7,-3.2,-8.9,-7,5.8,-1.2,0.1
324,Jay Huff'22-'23,Wizards,PF,95,1.8,-3.4,-1.6,2.9,-4.2,-1.3,2.2,-3.8,-1.6,0.1
324,Quenton Jackson'22-'23,Wizards,PG,135,-1.7,1.3,-0.4,-4.1,0.9,-3.2,-2.3,1.3,-1,0.1
324,Jonathan Kuminga'22-'23,Warriors,PF,"1,455",-2.5,0.4,-2.1,-2.2,-1.4,-3.6,-2.6,0,-2.6,0.1
324,Theo Maledon'22-'23,Hornets,PG,854,-1,-1.1,-2.2,-1.7,-2.5,-4.2,-1.2,-1.5,-2.6,0.1
324,Wesley Matthews'22-'23,Bucks,"SG, SF",861,-2.5,-0.4,-2.9,-1.3,1.2,-0.1,-2.4,-0.2,-2.6,0.1
324,Josh Minott'22-'23,Timberwolves,PF,102,-0.9,0.5,-0.4,1.2,0.6,1.9,-0.5,0.6,0.1,0.1
324,Moses Moody'22-'23,Warriors,"SG, SF",978,-1.1,-1.3,-2.4,-1.7,-0.9,-2.5,-1.3,-1.3,-2.6,0.1
324,Scotty Pippen Jr.'22-'23,Lakers,PG,32,-1.5,3.9,2.4,-11.4,8.7,-2.7,-3.6,5.1,1.6,0.1
324,Aleksej Pokusevski'22-'23,Thunder,C,701,-2,1.1,-0.9,-3.7,-4.4,-8.1,-2.5,0,-2.4,0.1
324,Joshua Primo'22-'23,Spurs,SG,93,-3.9,2.1,-1.8,1.2,2.9,4.1,-3,2.5,-0.6,0.1
324,Jordan Schakel'22-'23,Wizards,SF,6,8.9,9,17.8,19.9,17,36.9,11.8,11.3,23,0.1
324,Jericho Sims'22-'23,Knicks,C,812,-1.9,0.1,-1.8,-4.3,-0.5,-4.9,-2.6,0,-2.6,0.1
324,Dru Smith'22-'23,Nets,SG,158,-1.5,1.3,-0.2,-6.6,2,-4.6,-2.6,1.5,-1.1,0.1
324,Garrett Temple'22-'23,Pelicans,"SG, SF",162,-0.8,0.4,-0.4,-7.7,1.4,-6.3,-2.3,0.6,-1.7,0.1
324,Cam Thomas'22-'23,Nets,"SG, SF",964,-0.5,-1.5,-2,-2.4,-1.6,-4,-0.9,-1.6,-2.5,0.1
324,Stanley Umude'22-'23,Pistons,SG,2,6.9,50.4,57.3,30,18.7,48.7,12.4,47,59.4,0.1
324,Duane Washington Jr.'22-'23,Knicks,PG,394,0,-2.3,-2.3,-2.5,1.3,-1.2,-0.5,-1.7,-2.2,0.1
324,Jack White'22-'23,Nuggets,SF,66,0.5,0.8,1.3,-4.8,7,2.1,-0.6,2.1,1.5,0.1
324,Donovan Williams'22-'23,Hawks,SG,4,22.4,15.3,37.7,20.2,35.4,55.5,23.3,20.4,43.7,0.1
324,Dylan Windler'22-'23,Cavaliers,"SG, SF",10,4.7,3.9,8.6,-8.1,12.6,4.5,2.2,5.8,8,0.1
324,Gabe York'22-'23,Pacers,SG,56,-0.7,0.7,0.1,7.6,1.8,9.4,1,1,2.1,0.1
357,Deandre Ayton'22-'23,Suns,C,"2,354",-2.3,0.1,-2.2,-2.2,-1.8,-4,-2.4,-0.3,-2.7,0
357,Buddy Boeheim'22-'23,Pistons,SG,90,-2.4,-2.6,-5,-1,6.3,5.3,-2.2,-0.9,-3.1,0
357,Leandro Bolmaro'22-'23,Jazz,SF,68,-11.5,7.5,-4.1,-6.4,10.3,3.8,-11.2,8.6,-2.6,0
357,Sterling Brown'22-'23,Lakers,SF,24,-6.2,5.1,-1,0.2,4.3,4.5,-5.2,5.3,0.1,0
357,Deonte Burton'22-'23,Kings,PF,6,-8.8,-1.6,-10.4,30.7,3.2,33.9,-1.1,-0.7,-1.7,0
357,Vernon Carey Jr.'22-'23,Jazz,C,28,-7.1,2.1,-5,-25.6,17.6,-8,-11.4,5.4,-6,0
357,Xavier Cooks'22-'23,Wizards,PF,126,-4.4,-0.6,-5,2.2,3.3,5.4,-3.3,0.2,-3.1,0
357,Seth Curry'22-'23,Nets,"PG, SG","1,269",-0.2,-1.8,-2,-2.7,-2.4,-5.2,-0.8,-2.1,-2.8,0
357,JD Davison'22-'23,Celtics,PG,66,-1.7,0.6,-1.1,-4,-1,-5,-2.3,0.2,-2.1,0
357,Dewayne Dedmon'22-'23,76ers,C,431,-2.1,0.3,-1.8,-6.8,0.7,-6.1,-3.2,0.4,-2.8,0
357,Keon Ellis'22-'23,Kings,SG,71,2.6,-1.3,1.3,-9.6,-2.8,-12.3,0.2,-1.6,-1.4,0
357,Michael Foster Jr.'22-'23,76ers,PF,1,-3,6.3,3.3,-67.9,4.6,-63.2,-16.7,6.4,-10.4,0
357,Danny Green'22-'23,Cavaliers,"SG, SF",178,-2.9,0.5,-2.4,-5,0.7,-4.2,-3.5,0.5,-3,0
357,Joe Harris'22-'23,Nets,"SG, SF","1,571",-0.7,-1.8,-2.5,-1.2,-1.6,-2.8,-0.8,-1.9,-2.7,0
357,Malcolm Hill'22-'23,Bulls,SF,9,-5.3,-2.5,-7.9,7.5,29.1,36.6,-3,3.9,1,0
357,Trevor Hudgins'22-'23,Rockets,SG,28,-4.6,-4.2,-8.9,-5.1,10.9,5.9,-4.9,-1.2,-6.1,0
357,Frank Jackson'22-'23,Jazz,PG,5,-26.1,3.4,-22.7,-0.9,-9.7,-10.7,-22.4,1,-21.4,0
357,DaQuan Jeffries'22-'23,Knicks,SF,5,-9.2,16.3,7.1,-46.1,28.8,-17.3,-17.6,19.7,2.1,0
357,Carlik Jones'22-'23,Bulls,PG,56,-1.2,-5.6,-6.8,3.5,8.4,11.9,-0.2,-3.1,-3.3,0
357,Braxton Key'22-'23,Pistons,SF,9,2.5,-1.3,1.2,-15.9,2.5,-13.4,-1.1,-0.5,-1.6,0
357,Louis King'22-'23,76ers,SF,29,3.8,-8.7,-4.9,10.4,-4.1,6.3,5.3,-8.3,-3,0
357,Cody Martin'22-'23,Hornets,"SG, SF",134,-0.5,-2.3,-2.8,0,-2.2,-2.2,-0.4,-2.4,-2.8,0
357,Skylar Mays'22-'23,Trail Blazers,PG,189,2.5,-3.9,-1.4,-1.3,-6.4,-7.6,1.9,-4.6,-2.7,0
357,Sam Merrill'22-'23,Cavaliers,SG,59,1.1,-2.3,-1.2,-5.9,3.2,-2.7,-0.4,-1.3,-1.7,0
357,Xavier Moon'22-'23,Clippers,SG,20,-1.8,0.3,-1.5,-8.9,12.2,3.3,-3.4,2.9,-0.5,0
357,Otto Porter Jr.'22-'23,Raptors,"SF, PF",146,-1.3,0.3,-1.1,-3.7,-4.5,-8.2,-2,-0.7,-2.6,0
357,Jason Preston'22-'23,Clippers,PG,125,-0.1,-3.5,-3.6,-1.1,0.3,-0.7,-0.3,-2.9,-3.1,0
357,Lester Quinones'22-'23,Warriors,SG,18,-10,4.8,-5.2,3.7,12,15.7,-7.9,6.5,-1.4,0
357,Jared Rhoden'22-'23,Pistons,SF,198,-3.4,-1.2,-4.6,2.9,2.8,5.8,-2.3,-0.3,-2.6,0
357,Luka Samanic'22-'23,Jazz,PF,161,-3.4,-1,-4.4,1.1,1.5,2.6,-2.7,-0.5,-3.2,0
357,Jay Scrubb'22-'23,Magic,SG,30,2,-4,-2,0.4,-15.8,-15.4,1.9,-6.7,-4.8,0
357,Dereon Seabron'22-'23,Pelicans,SG,12,-1.2,-6.2,-7.4,0.9,14.3,15.2,-0.8,-2.3,-3.1,0
357,Chris Silva'22-'23,Mavericks,PF,3,-12.6,6.8,-5.8,-14.7,23.6,8.9,-13.8,10.8,-3.1,0
357,Kobi Simmons'22-'23,Hornets,SG,28,-3.8,4,0.2,-14.3,-5.9,-20.1,-6.1,2.2,-3.9,0
357,Cole Swider'22-'23,Lakers,SF,41,0,-5.1,-5,4.3,-2.7,1.7,0.9,-4.8,-3.9,0
357,Tristan Thompson'22-'23,Lakers,"PF, C",32,-5.9,1.5,-4.3,-1.3,11.1,9.9,-5.3,3.6,-1.6,0
357,P.J. Tucker'22-'23,76ers,"SF, PF","2,214",-3.2,0.1,-3.1,1.9,-2.5,-0.6,-2.3,-0.5,-2.8,0
357,T.J. Warren'22-'23,Suns,"SF, PF",768,-2.1,-1.5,-3.6,-0.4,2.8,2.4,-1.9,-0.7,-2.6,0
357,Trendon Watford'22-'23,Trail Blazers,"PF, C","1,182",-1.7,-0.4,-2.1,-2.4,-2.4,-4.8,-2,-0.7,-2.7,0
357,Joe Wieskamp'22-'23,Raptors,SF,50,-6.1,2.1,-4,-9.6,14.3,4.6,-7.3,4.7,-2.5,0
397,Ochai Agbaji'22-'23,Jazz,SF,"1,209",-1.3,-2.2,-3.5,0.6,-0.6,0.1,-1,-2,-3,-0.1
397,Dalano Banton'22-'23,Raptors,PG,279,-0.9,-1.5,-2.4,-4.5,-0.8,-5.3,-1.7,-1.5,-3.2,-0.1
397,Bismack Biyombo'22-'23,Suns,C,952,-4.1,0.6,-3.5,-0.1,0.9,0.8,-3.6,0.7,-2.9,-0.1
397,Tony Bradley'22-'23,Bulls,C,33,-0.7,-7.3,-8,-2.1,6.5,4.3,-1,-4.9,-5.9,-0.1
397,Julian Champagnie'22-'23,Spurs,SF,320,-0.7,-2.7,-3.4,-0.3,-2.7,-2.9,-0.6,-2.8,-3.4,-0.1
397,John Collins'22-'23,Hawks,"PF, C","2,294",-2.7,-0.5,-3.2,-1.1,0.5,-0.6,-2.5,-0.3,-2.9,-0.1
397,Taj Gibson'22-'23,Wizards,"PF, C",480,-3.4,-0.9,-4.3,0.3,1.3,1.6,-2.8,-0.5,-3.3,-0.1
397,Jacob Gilyard'22-'23,Grizzlies,PG,41,-2.5,-3,-5.5,-6.2,-2.4,-8.6,-3.4,-3,-6.5,-0.1
397,RaiQuan Gray'22-'23,Nets,PF,35,-2.2,-0.9,-3.1,-3.9,-10.6,-14.5,-2.7,-2.9,-5.6,-0.1
397,R.J. Hampton'22-'23,Pistons,PG,750,-1.2,-1.6,-2.8,-2,-1.8,-3.8,-1.4,-1.7,-3.1,-0.1
397,Jaden Hardy'22-'23,Mavericks,SG,708,-0.2,-2.7,-2.9,-0.8,-1.9,-2.7,-0.3,-2.7,-3,-0.1
397,Reggie Jackson'22-'23,Nuggets,"PG, SG","1,675",-2.1,-0.2,-2.3,-3.8,-0.5,-4.2,-2.6,-0.3,-2.9,-0.1
397,Mfiondu Kabengele'22-'23,Celtics,C,36,-4.4,-5.4,-9.8,-0.4,-7.7,-8.1,-3.9,-6.3,-10.2,-0.1
397,Trevor Keels'22-'23,Knicks,SF,8,-12.5,-11.6,-24.1,-39.7,-19.7,-59.4,-19.1,-14.1,-33.2,-0.1
397,Furkan Korkmaz'22-'23,76ers,"SG, SF",364,-2.5,-0.8,-3.3,-4.5,3.5,-1,-3.1,0,-3.1,-0.1
397,Vit Krejci'22-'23,Hawks,"PG, SG",165,-2,-2,-4,-2.2,1,-1.2,-2.2,-1.4,-3.6,-0.1
397,Chima Moneke'22-'23,Kings,SF,8,-14.2,-10.8,-25,-25.1,-9.3,-34.4,-17.4,-11.1,-28.5,-0.1
