,,,,,,"~~~eRAPTOR~~~",,,"&nbsp",,,,
"Player","Age","Team(s)","Pos","G","MP","Off","Def","Tot","WAR","WAR/82",,,
"Joe Ingles",36,"ORL","SF",53,916,0.301355414,0.991578144,1.292933558,1.962457466,2.401813615,,,
"Jusuf Nurkić",29,"PHO","C",63,1724,-1.104327736,2.394329913,1.290002177,3.690640589,4.516903407,,,
"Jalen Johnson",22,"ATL","SF",49,1665,0.667708691,0.619674902,1.287383592,3.561507485,4.424903239,,,
"Daniel Gafford",25,"WAS"," DAL","C"," PF",60,1485,-0.129814246,1.40126849,1.271454243,3.179877203,3.891790009,
"Aaron Nesmith",24,"IND","SF",59,1607,1.177719361,0.027333974,1.205053335,3.377763408,4.073185286,,,
"Victor Wembanyama",20,"SAS","C",59,1705,-2.154570281,3.328359023,1.173788742,3.547505393,4.341723019,,,
"Jeff Dowtin",26,"PHI","PG",4,57,-0.229527816,1.40142399,1.171896173,0.119,0.1450727,,,
"Al Horford",37,"BOS","C",55,1476,-0.317519723,1.487083683,1.16956396,3.0529027,3.793000325,,,
"Jonathan Kuminga",21,"GSW","PF",65,1698,1.271087931,-0.10388622,1.167201712,3.504299385,4.353826509,,,
"Keegan Murray",23,"SAC","SF",61,2014,0.534948551,0.624955329,1.15990388,4.148067641,5.153659796,,,
"CJ McCollum",32,"NOP","PG",51,1597,0.890103233,0.24621053,1.136313763,3.293535267,4.030893909,,,
"Malik Beasley",27,"MIL","SG",64,1900,0.554243168,0.570171921,1.124415089,3.893331342,4.764972687,,,
"Josh Hart",28,"NYK","SF",66,2121,-0.705040538,1.828921187,1.12388065,4.365805734,5.343224929,,,
"Draymond Green",33,"GSW","PF",41,1095,-0.8492458,1.961674574,1.112428774,2.225617941,2.765161684,,,
"Isaiah Jackson",22,"IND","C",49,651,0.304565148,0.776857291,1.081422439,1.322054018,1.594241609,,,
"Isaac Okoro",23,"CLE","SF",58,1584,0.173441247,0.906073775,1.079515021,3.195144569,3.910475443,,,
"Dejounte Murray",27,"ATL","SG",63,2232,2.135632983,-1.065782587,1.069850396,4.496436446,5.586481645,,,
"Dante Exum",28,"DAL","PG",41,787,1.235463581,-0.173526586,1.061936994,1.591858934,1.948245262,,,
"Jrue Holiday",33,"BOS","PG",60,1995,0.05481222,0.975265595,1.030077815,3.967353904,4.929136668,,,
"Julius Randle",29,"NYK","PF",46,1630,1.247589931,-0.22379859,1.023791341,3.26117502,3.991288831,,,
"LaMelo Ball",22,"CHO","PG",22,711,1.604026167,-0.603057214,1.000968953,1.40884977,1.698907075,,,
"Oshae Brissett",25,"BOS","SF",43,466,0.229951381,0.733957949,0.96390933,0.909088894,1.129474081,,,
"Goga Bitadze",24,"ORL","C",53,907,-1.55761476,2.520992227,0.963377467,1.772071843,2.168804345,,,
"Scotty Pippen Jr.",23,"MEM","PG",9,208,-0.051003676,0.996126075,0.945122398,0.404864332,0.488218754,,,
"Max Strus",27,"CLE","SF",60,1932,-0.293569492,1.235478476,0.941908984,3.745159373,4.583627889,,,
"Keon Ellis",24,"SAC","SG",41,539,-0.999860994,1.938688255,0.93882726,1.042141912,1.294782376,,,
"Luguentz Dort",24,"OKC","SF",65,1856,0.164625181,0.754526328,0.91915151,3.579215074,4.380531881,,,
"Delon Wright",31,"WAS"," MIA","PG",36,512,-0.924127143,1.833177417,0.909050274,0.988989368,1.213656036,,
"Mitchell Robinson",25,"NYK","C",21,613,-1.624454818,2.503066805,0.878611987,1.17518162,1.438281983,,,
"Lonnie Walker IV",25,"BRK","SG",46,823,0.743414121,0.133025123,0.876439244,1.569422352,1.920785566,,,
"Devin Vassell",23,"SAS","SG",61,1988,1.574827972,-0.704992698,0.869835274,3.789359811,4.637723948,,,
"Trae Young",25,"ATL","PG",51,1862,3.0837063,-2.222253716,0.861452584,3.528955999,4.384460483,,,
"Bradley Beal",30,"PHO","SG",38,1248,1.629730614,-0.773114081,0.856616533,2.362038982,2.89085368,,,
"Gary Harris",29,"ORL","SG",43,1001,-0.249559088,1.101945914,0.852386826,1.892128464,2.315739314,,,
"Day'Ron Sharpe",22,"BRK","C",50,773,-0.334267247,1.149476917,0.81520967,1.446939352,1.770880998,,,
"Mikal Bridges",27,"BRK","SF",67,2359,1.565919355,-0.760243833,0.805675522,4.40279752,5.388498458,,,
"Micah Potter",25,"UTA","PF",5,47,3.751470469,-2.96,0.795094437,0.087165107,0.106679683,,,
"Jaime Jaquez Jr.",22,"MIA","SF",60,1758,0.064799183,0.715424875,0.780224058,3.265479179,4.057110495,,,
"Nickeil Alexander-Walker",25,"MIN","SG",67,1570,-0.801983004,1.579510166,0.777527162,2.895921851,3.544262564,,,
"Andre Drummond",30,"CHI","C",68,1154,-1.145656839,1.897085177,0.751428338,2.092533763,2.523349538,,,
"Isaiah Joe",24,"OKC","SG",63,1160,0.491986196,0.236554521,0.728540717,2.110440059,2.58292664,,,
"Moritz Wagner",26,"ORL","C",65,1178,1.449653404,-0.787590336,0.662063068,2.098360815,2.568143087,,,
"Immanuel Quickley",24,"TOR"," NYK","PG"," SG",61,1762,1.59971849,-0.986398427,0.613320062,3.101294666,3.795614367,
"Kris Dunn",29,"UTA","PG",58,1078,-0.676603655,1.283747257,0.607143602,1.883431854,2.305095702,,,
"Tre Jones",24,"SAS","PG",62,1652,0.525422378,0.07838644,0.603808818,2.896555314,3.545037847,,,
"DeJon Jarreau",26,"MEM","SG",4,71,-4.206355474,4.779717485,0.57336201,0.12306516,0.148402104,,,
"Duncan Robinson",29,"MIA","SF",61,1736,0.86719214,-0.310174057,0.557018083,3.001777805,3.729481515,,,
"Naz Reid",24,"MIN","C",67,1583,-0.809062224,1.346572939,0.537510716,2.702743483,3.307835307,,,
"Larry Nance Jr.",31,"NOP","C",48,908,-1.158406521,1.688268927,0.529862406,1.555910853,1.904249104,,,
"Aaron Wiggins",25,"OKC","SG",64,923,0.548128261,-0.0224,0.525705316,1.572086473,1.924046131,,,
"Bol Bol",24,"PHO","PF",29,324,0.065881958,0.453136475,0.519018434,0.551,0.673878618,,,
"Dean Wade",27,"CLE","PF",54,1108,-2.400145964,2.915327239,0.515181275,1.877609025,2.297969255,,,
"Thaddeus Young",35,"TOR"," PHO","PF",26,382,0.510018689,0.004103202,0.514121891,0.647147519,0.792031292,,
"Paolo Banchero",21,"ORL","PF",65,2270,0.252461734,0.261227933,0.513689667,3.850731492,4.712835558,,,
"Malcolm Brogdon",31,"POR","PG",39,1121,1.464523974,-0.9659106,0.498613374,1.88032109,2.301288499,,,
"Alex Len",30,"SAC","C",32,277,-2.506999224,2.988365328,0.481366103,0.463269007,0.575576645,,,
"Cam Whitmore",19,"HOU","SF",38,678,0.650153557,-0.19059308,0.459560478,1.127380458,1.379779069,,,
"D'Angelo Russell",27,"LAL","PG",63,2021,1.427371581,-0.995179846,0.432191735,3.329289013,4.014730868,,,
"Kyle Anderson",30,"MIN","PF",64,1442,-1.453204084,1.863799583,0.410595499,2.357406413,2.885183969,,,
"Buddy Hield",31,"IND"," PHI","SF"," SG",69,1848,1.03735922,-0.62982383,0.40753539,3.03551393,3.67423443,
"Malik Monk",25,"SAC","SG",65,1706,1.57762405,-1.175830286,0.401793764,2.775744403,3.448652136,,,
"Bam Adebayo",26,"MIA","C",56,1933,-0.599975949,0.976205862,0.376229912,3.141446726,3.903009569,,,
"Austin Reaves",25,"LAL","SG",68,2159,1.560557432,-1.196042919,0.364514513,3.473101689,4.188152037,,,
"Jonas Valančiūnas",31,"NOP","C",67,1648,-0.130675875,0.461861579,0.331185704,2.635646211,3.225716258,,,
"Vince Williams Jr.",23,"MEM","SG",52,1436,-1.161149842,1.483182869,0.322033027,2.282107198,2.751952798,,,
"Dāvis Bertāns",31,"CHO"," OKC","PF",30,399,0.069328741,0.211765878,0.28109462,0.624972858,0.757712104,,
"Dennis Smith Jr.",26,"BRK","PG",51,995,-1.355587921,1.619177593,0.263589672,1.55,1.894344545,,,
"Royce O'Neale",30,"BRK"," PHO","SF",64,1627,-0.973689569,1.221179335,0.247489766,2.514114526,3.076975987,,
"Brook Lopez",35,"MIL","C",64,1994,-1.214425126,1.448680859,0.234255733,3.068324217,3.755262475,,,
"Cason Wallace",20,"OKC","SG",67,1373,-0.288451834,0.506169393,0.217717559,2.096480228,2.565841473,,,
"Sam Merrill",27,"CLE","SG",49,828,1.246817597,-1.0591336,0.187683998,1.248137648,1.52757145,,,
"Jarred Vanderbilt",24,"LAL","PF",29,581,-2.261151346,2.445332578,0.184181232,0.874742798,1.054836903,,,
"Norman Powell",30,"LAC","SG",65,1687,1.152674641,-0.974,0.178500798,2.549825842,3.16796544,,,
"Simone Fontecchio",28,"UTA"," DET","SF",65,1609,0.810515526,-0.633536509,0.176979016,2.418906795,2.980897444,,
"Jae'Sean Tate",28,"HOU","SF",57,951,-1.774082303,1.931951385,0.157869082,1.417343741,1.734659503,,,
"Moses Moody",21,"GSW","SG",51,906,-0.494098071,0.633422554,0.139324483,1.338421654,1.66288751,,,
"Kenrich Williams",29,"OKC","PF",55,772,-1.186278554,1.314822395,0.128543841,1.139385606,1.394471936,,,
"Myles Turner",27,"IND","C",64,1753,0.091272374,0.009667322,0.100939697,2.571510138,3.100938696,,,
"Josh Giddey",21,"OKC","SG",66,1619,-0.410875247,0.503389825,0.092514578,2.356072134,2.88355097,,,
"Ausar Thompson",21,"DET","SF",63,1583,-1.479718805,1.561565201,0.081846396,2.297403981,2.854350401,,,
"Kevin Huerter",25,"SAC","SG",63,1560,-0.013634877,0.067574416,0.053939539,2.228564531,2.768822599,,,
"John Konchar",27,"MEM","SF",52,1072,-2.30796637,2.355234174,0.047267805,1.534753313,1.850731937,,,
"Gui Santos",21,"GSW","PF",17,147,-0.104330513,0.150800919,0.046470406,0.209372866,0.260129925,,,
"Cameron Johnson",27,"BRK","PF",51,1415,0.597280306,-0.552734465,0.044545841,2.023470625,2.476486436,,,
"Jakob Poeltl",28,"TOR","C",50,1319,-0.658649705,0.684560358,0.025910653,1.86632091,2.28415395,,,
"Dyson Daniels",20,"NOP","PG",52,1139,-2.746104,2.765512823,0.019408823,1.617377744,1.979477238,,,
"Nicolas Batum",35,"PHI"," LAC","PF",46,1131,-1.21674109,1.232419308,0.015678218,1.601191713,1.960710842,,
