"Player","Season","Team","Offensive Archetype","Minutes","Pos","Age","LEBRON","O-LEBRON","D-LEBRON","WAR","LEBRON Contract Value","boxLEBRON","boxOLEBRON","boxDLEBRON"
"Chimezie Metu","2023-24","PHO","Stretch Big","440","C","26","-0.78","-1.22","0.44","0.50","1,601,976.00","-0.58","-0.96","0.38"
"Obi Toppin","2023-24","IND","Stretch Big","1,113","PF","25","-0.78","-0.07","-0.71","1.20","4,053,764.00","-0.71","0.40","-1.11"
"Seth Lundy","2023-24","ATL","Movement Shooter","52","SF","23","-0.80","-0.90","0.10","0.10","187,820.00","-0.62","-0.71","0.09"
"Terry Rozier","2023-24","CHO/MIA","Primary Ball Handler","1,212","PG","29","-0.80","0.78","-1.58","1.30","4,366,365.00","0.14","1.49","-1.35"
"Tristan Thompson","2023-24","CLE","Roll + Cut Big","446","PF","32","-0.80","-0.70","-0.10","0.50","1,606,192.00","-0.78","-1.09","0.31"
"Landry Shamet","2023-24","WAS","Off Screen Shooter","449","SG","26","-0.81","0.52","-1.33","0.50","1,608,347.00","-1.24","0.03","-1.27"
"Harrison Barnes","2023-24","SAC","Stationary Shooter","1,372","PF","31","-0.82","-0.66","-0.16","1.40","4,881,328.00","-0.85","-0.55","-0.30"
"DaQuan Jeffries","2023-24","NYK","Low Minute","30","SG","26","-0.83","-0.59","-0.24","0.00","105,893.00","-0.84","-0.54","-0.30"
"Drew Eubanks","2023-24","PHO","Roll + Cut Big","678","C","26","-0.83","-1.63","0.80","0.70","2,394,420.00","-0.95","-1.74","0.79"
"Vince Williams Jr.","2023-24","MEM","Stationary Shooter","894","SG","23","-0.83","-1.44","0.61","0.90","3,159,993.00","-1.01","-1.91","0.90"
"Joe Ingles","2023-24","ORL","Secondary Ball Handler","613","SF","36","-0.85","-0.80","-0.04","0.60","2,145,917.00","-1.11","-1.34","0.22"
"Justin Minaya","2023-24","POR","Athletic Finisher","115","SF","24","-0.85","-1.26","0.41","0.10","402,670.00","-0.81","-1.13","0.32"
